"id_syn","num","title","idDico"
"4313","490","gaîment","30"
"4314","491","joyeusement","30"
"4315","492","jovialement","30"
"4316","493","allègrement","30"
"4317","494","incessamment","30"
"4318","217","toutefois","27"
"4319","495","mollement","30"
"4320","496","doucement","30"
"4321","497","délicatement","30"
"4322","498","délicieusement","30"
"4323","499","paisiblement","30"
"4324","500","furtivement","30"
"4325","501","en grande partie","30"
"4326","502","plus tard","30"
"4327","503","le lendemain","30"
"4328","504","[32|a_autre@m_jour 1]","30"
"4329","505","nullement","30"
"4330","506","pas","30"
"4331","507","pas du tout","30"
"4332","218","c'est-à-dire","27"
"4333","508","autrefois","30"
"4334","219","là-bas","27"
"4335","220","çà","27"
"4336","509","soudain","30"
"4337","510",".","30"
"4338","511","?","30"
"4339","512","instantanément","30"
"4340","513","sur le champ","30"
"4341","514","tout de suite","30"
"4342","515","à la minute même","30"
"4344","516","ailleurs","30"
"4347","82","quand","30"
