"id_concept","id_dico","lib","type","id_sub","sEli","sPre","genre","s","p","id_adj","aEli","aPre","m_s","f_s","m_p","f_p","id_verbe","id_conj","vEli","vPre","id_gen","valeur","id_syn","num","ordre","syLib"
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41307","[a_intense]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41361","[a_furieux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41362","[a_dément]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41381","[a_énorme]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41441","[a_monstrueux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41447","[a_oppressant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41448","[a_pesant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"41523","[a_sauvage]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"159375","[a_agressif]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237951","[a_dominateur]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237952","[a_étouffant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237953","[a_impérial]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237954","[a_inévitable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237955","[a_omniprésent]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237956","[a_suffocant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237957","[a_tapageur]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237958","[a_étonnant 2]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237959","[a_déchâiné]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237960","[a_accablant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"237961","[a_torride]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"253974","[a_désagréable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"253975","[a_foisonnant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"253976","[a_claironnant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59005","1","éreintant",,"e","s","es",NULL,NULL,NULL,NULL,"473132","[a_chaud 1]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40978","[a_absolu]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40979","[a_insoutenable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40982","[a_extrême]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40994","[a_affreux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40995","[a_atroce]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40996","[a_effrayant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40997","[a_horrible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"40998","[a_terrible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41004","[a_hostile]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41006","[a_impétueux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41038","[a_fou]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41040","[a_violent]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41137","[a_concret]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41169","[a_constant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41233","[a_pénible]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41283","[a_surprenant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41307","[a_intense]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41361","[a_furieux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41362","[a_dément]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41381","[a_énorme]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41441","[a_monstrueux]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41447","[a_oppressant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41448","[a_pesant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"41523","[a_sauvage]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"159375","[a_agressif]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237951","[a_dominateur]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237952","[a_étouffant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237953","[a_impérial]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237954","[a_inévitable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237955","[a_omniprésent]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237956","[a_suffocant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237957","[a_tapageur]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237958","[a_étonnant 2]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237959","[a_déchâiné]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237960","[a_accablant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"237961","[a_torride]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"253974","[a_désagréable]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"253975","[a_foisonnant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"253976","[a_claironnant]",NULL,NULL,NULL,NULL
"166707","34","qualChaleur 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59006","1","épuisant",,"e","s","es",NULL,NULL,NULL,NULL,"473132","[a_chaud 1]",NULL,NULL,NULL,NULL
"166709","34","obtenu","a",NULL,NULL,NULL,NULL,NULL,NULL,"59007","1","obtenu",,"e","s","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166711","34","hiérarchie","m","144166","0","hiérarchie","2",,"s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166712","34","classification","m","144167","0","classification","2",,"s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166713","34","entassé","a",NULL,NULL,NULL,NULL,NULL,NULL,"59008","1","entassé",,"e","s","es",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59009","1","irrité",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59009","1","irrité",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
